agencyCode(Investment),agencyName(Investment),bureauCode(Investment),parentUII,parentInvestmentTitle,budgetAccountCode,budgetAccountName,agencyCode(fromBudgetAccount),bureauCode(fromBudgetAccount),DODalternateBureauCode,fiscalYear,fundingType,fundingAmount,sourceType,updatedTime_x,agencyCode,agencyName,currentUII,investmentName,investmentType,uniqueProjectId,projectId,agencyProjectId,projectName,projectGoal,infrastructureManagementCategory,projectStatus,tmfInitiative,softwareProject,incrementalDevelopment,iterationFrequencyAmount,iterationFrequencyUnits,iterativeDescription,plannedStartDate,projectedStartDate,actualStartDate,plannedEndDate,projectedEndDate,actualEndDate,plannedCost,projectedCost,actualCost,scheduleVariance(days),scheduleVariance(%),scheduleVarianceColor,costVariance($M),costVariance(%),costVarianceColor,updatedTime_y,has_future
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,21.1495,Internal Funding,2023-09-26 13:52:37,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,P2,611a93c1f5a6964226ae0dc6,ITS-EPA IV TO1,To support the activities for the infrastructure of the End User Investment,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-28 15:00:04,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,21.1495,Internal Funding,2023-09-26 13:52:37,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,E2D,6115de0ef5a6964226ae0ba4,Computer Refresh FY22,Refresh computers to support the ever changing technologies.,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.4605,4.605,green,2021-10-28 15:00:04,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,21.1495,Internal Funding,2023-09-26 13:52:37,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,E2E,6115e170f5a6964226ae0baf,Computer Refresh FY23,Refresh computers to support the ever changing technologies.,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-28 15:00:04,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,21.1495,Internal Funding,2023-09-26 13:52:37,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,MD5,6115c85bf5a6964226ae0b73,Mobile Device Refresh FY24,Maintain mobile devices at current support levels,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-28 15:00:04,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,21.1495,Internal Funding,2023-09-26 13:52:37,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,MD4,6115c621f5a6964226ae0b6d,Mobile Device Refresh FY23,Maintain mobile devices at current support levels,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,-0.05,-6.25,green,2021-10-28 15:00:04,True
5,Department of Agriculture,96,005-000002223,NRE-FS-Natural Resource Manager (NRM),005-96-1106,National Forest System,5,96,,2024,O&M,20.257,Internal Funding,2023-09-13 21:08:36,5,Department of Agriculture,005-000002223,NRE-FS-Natural Resource Manager (NRM),Major IT Investments,,210775,210775,Project 469-FY2021 FACTS,Business Redesign refresh for USDA-FS Forest Activity Tracking Systems,1,Future,,True,True,Array,Months,FACTS,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-27 16:45:04,True
5,Department of Agriculture,96,005-000002223,NRE-FS-Natural Resource Manager (NRM),005-96-1106,National Forest System,5,96,,2024,O&M,20.257,Internal Funding,2023-09-13 21:08:36,5,Department of Agriculture,005-000002223,NRE-FS-Natural Resource Manager (NRM),Major IT Investments,,210776,210776,Project 455 FY21 SUDS,Business Redesign refresh for USDA-FS  Special Uses Data Systems.,1,Future,,True,True,Array,Months,SUDS,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-27 16:45:07,True
5,Department of Agriculture,96,005-000002223,NRE-FS-Natural Resource Manager (NRM),005-96-1106,National Forest System,5,96,,2024,O&M,20.257,Internal Funding,2023-09-13 21:08:36,5,Department of Agriculture,005-000002223,NRE-FS-Natural Resource Manager (NRM),Major IT Investments,,210829,210829,Project-NRM Technology Modernizaion Phase III,NRM Technology refresh for some NRM business applications,1,Future,,True,True,Array,Months,TM Phase III,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-27 16:45:07,True
18,Department of Education,45,018-000000199,FSA Cybersecurity Program,018-45-0202-0,,18,45,,2024,O&M,18.758207,Internal Funding,2023-09-25 12:07:00,18,Department of Education,018-000000199,FSA Cybersecurity Program,Standard IT Investments,,2203,5f4913770b65bc452b23e2eb,Risk-Based Authentication Services FY22,Perform high assurance identity verification using an automated service and enhance identity security using Risk-Based Authentication (RBA) techniques.,2,Future,,False,False,Array,Months,,,,,,,,,,,0,0.0,green,-1.6,-80.0,green,2021-09-21 18:22:14,True
18,Department of Education,45,018-000000199,FSA Cybersecurity Program,018-45-0202-0,,18,45,,2024,O&M,18.758207,Internal Funding,2023-09-25 12:07:00,18,Department of Education,018-000000199,FSA Cybersecurity Program,Standard IT Investments,,FY22 Cyber,5f500419dbd03845429d4c63,FY22 Cyber Enhancements,Annual cyber enhancements ,2,Future,,False,False,Array,Months,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-21 18:22:14,True
11,Department of Justice,10,011-000003503,FBI Shared Land Mobile Radio (SLMR),011-10-0200-0,,11,10,,2024,O&M,17.0,Internal Funding,2023-09-20 12:55:02,11,Department of Justice,011-000003503,FBI Shared Land Mobile Radio (SLMR),Standard IT Investments,,002,5fd24412a821f2428617fc9c,NY/Newark Infrastructure Project,Modernization of SLMR system that covers the New York and Newark Field Office Metropolitan Regions. Equipment ordered and scheduled to be delivered October 2022 and installed and tested October -December 2022.,4,Future,,False,,,,,,,,,,,,,,0,0.0,green,-74.925,-99.9,green,2022-08-17 14:22:20,True
11,Department of Justice,10,011-000003503,FBI Shared Land Mobile Radio (SLMR),011-10-0200-0,,11,10,,2024,O&M,17.0,Internal Funding,2023-09-20 12:55:02,11,Department of Justice,011-000003503,FBI Shared Land Mobile Radio (SLMR),Standard IT Investments,,001,5fff4c1786dc51426897c467,Infrastructure Refresh for 23 Field Offices including Redstone Arsenal ,Modernization of SLMR System that covers the Atlanta and Phoenix Field Office Metropolitan Regions.  Equipment not ordered in FY 21.  Project delayed. Equipment req in in March 2022 - not ordered yet.,4,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2022-04-18 12:52:04,True
11,Department of Justice,10,011-000003212,FBI Enterprise Cyber Security Section (ECS),011-10-0200-0,,11,10,,2024,O&M,16.95,Internal Funding,2023-09-20 12:53:56,11,Department of Justice,011-000003212,FBI Enterprise Cyber Security Section (ECS),Standard IT Investments,,MON-IT-NT,604663a735ead54297f4f22d,ESOC - Expanded Monitoring of FBI Non-Traditional IT Assets,"Centralized logging for monitoring non-traditional assets for detecting security-related events, responding to security-related incidents, and mitigating cyber threat activities for the FBI enterprise.",2,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-07 16:44:00,True
11,Department of Justice,10,011-000003212,FBI Enterprise Cyber Security Section (ECS),011-10-0200-0,,11,10,,2024,O&M,16.95,Internal Funding,2023-09-20 12:53:56,11,Department of Justice,011-000003212,FBI Enterprise Cyber Security Section (ECS),Standard IT Investments,,HW-TECH,604662fc35ead54297f4f224,ESOC - Hardware Tech Refresh,"Technical refresh of hardware that supports monitoring user activities, detecting security-related events, responding to security-related incidents, and mitigating cyber threat activities for the FBI enterprise.",2,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-07 16:43:56,True
11,Department of Justice,10,011-000003212,FBI Enterprise Cyber Security Section (ECS),011-10-0200-0,,11,10,,2024,O&M,16.95,Internal Funding,2023-09-20 12:53:56,11,Department of Justice,011-000003212,FBI Enterprise Cyber Security Section (ECS),Standard IT Investments,,TRANS-RO,6046633535ead54297f4f227,ESOC - Transition to Remote Operations,"Complete remote operation capabilities to monitoring user activities, detecting security-related events, responding to security-related incidents, and mitigating cyber threat activities for the FBI enterprise.",2,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-07 16:44:00,True
11,Department of Justice,10,011-000003212,FBI Enterprise Cyber Security Section (ECS),011-10-0200-0,,11,10,,2024,O&M,16.95,Internal Funding,2023-09-20 12:53:56,11,Department of Justice,011-000003212,FBI Enterprise Cyber Security Section (ECS),Standard IT Investments,,MON-IT,6046636d35ead54297f4f22a,ESOC - Expanded Monitoring of FBI IT Assets,"Centralized logging for monitoring user activities, detecting security-related events, responding to security-related incidents, and mitigating cyber threat activities for the FBI enterprise.",2,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-12-07 12:02:38,True
11,Department of Justice,10,011-000003212,FBI Enterprise Cyber Security Section (ECS),011-10-0200-0,,11,10,,2024,O&M,16.95,Internal Funding,2023-09-20 12:53:56,11,Department of Justice,011-000003212,FBI Enterprise Cyber Security Section (ECS),Standard IT Investments,,SW-DME,6046603835ead54297f4f216,ESOC - Software DME,"Continually updating to best-of-class software for monitoring user activities, detecting security-related events, responding to security-related incidents, and mitigating cyber threat activities for the FBI enterprise.",2,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-07 16:44:00,True
11,Department of Justice,10,011-000003212,FBI Enterprise Cyber Security Section (ECS),011-10-0200-0,,11,10,,2024,O&M,16.95,Internal Funding,2023-09-20 12:53:56,11,Department of Justice,011-000003212,FBI Enterprise Cyber Security Section (ECS),Standard IT Investments,,HW-DME,6046628e35ead54297f4f221,ESOC - Hardware DME,"Continually updating to best-of-class hardware to support monitoring user activities, detecting security-related events, responding to security-related incidents, and mitigating cyber threat activities for the FBI enterprise.",2,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-07 16:44:01,True
11,Department of Justice,10,011-000003503,FBI Shared Land Mobile Radio (SLMR),011-03-0132-0,,11,3,,2024,DME,14.387814,Internal Funding,2023-09-20 12:54:47,11,Department of Justice,011-000003503,FBI Shared Land Mobile Radio (SLMR),Standard IT Investments,,002,5fd24412a821f2428617fc9c,NY/Newark Infrastructure Project,Modernization of SLMR system that covers the New York and Newark Field Office Metropolitan Regions. Equipment ordered and scheduled to be delivered October 2022 and installed and tested October -December 2022.,4,Future,,False,,,,,,,,,,,,,,0,0.0,green,-74.925,-99.9,green,2022-08-17 14:22:20,True
11,Department of Justice,10,011-000003503,FBI Shared Land Mobile Radio (SLMR),011-03-0132-0,,11,3,,2024,DME,14.387814,Internal Funding,2023-09-20 12:54:47,11,Department of Justice,011-000003503,FBI Shared Land Mobile Radio (SLMR),Standard IT Investments,,001,5fff4c1786dc51426897c467,Infrastructure Refresh for 23 Field Offices including Redstone Arsenal ,Modernization of SLMR System that covers the Atlanta and Phoenix Field Office Metropolitan Regions.  Equipment not ordered in FY 21.  Project delayed. Equipment req in in March 2022 - not ordered yet.,4,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2022-04-18 12:52:04,True
6,Department of Commerce,51,006-000805200,USPTO End User (EU),006-51-1006-0,,6,51,,2024,O&M,13.998506,Internal Funding,2023-09-14 12:58:57,6,Department of Commerce,006-000805200,USPTO End User (EU),Standard IT Investments,,240123,611bebf5c8d74c429dcb1d5f,FY23 End User Services Maintenance and Enhancements,Includes end user computing devices and support for end users,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-23 12:27:00,True
6,Department of Commerce,51,006-000805200,USPTO End User (EU),006-51-1006-0,,6,51,,2024,O&M,13.998506,Internal Funding,2023-09-14 12:58:57,6,Department of Commerce,006-000805200,USPTO End User (EU),Standard IT Investments,,240124,611beda3c8d74c429dcb1d72,FY24 End User Services Maintenance and Enhancements,Includes end user computing devices and support for end users,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-23 12:27:00,True
21,Department of Transportation,12,021-002703942,FAAXX084: Instrument Flight Procedure Automation (IFPA),021-12-1301,Operations,21,12,,2024,O&M,13.974,Internal Funding,2023-09-19 02:02:53,21,Department of Transportation,021-002703942,FAAXX084: Instrument Flight Procedure Automation (IFPA),Major IT Investments,,108279,108279,"IFPA Software Enhancement, Sustainment 3","Perform a technology refresh of TERPS COTS workstation hardware, update IFPA functionality through software enhancements of IFP design and documentation systems, and modernize IFPA system architecture.",1,Future,,True,True,Array,Months,"Testing will be performed in an iterative fashion, divided into sprints, which are generally three months in length. Each phase of testing (development, integration, operational, and acceptance) will be executed in a separate logical environment.",,,,,,,,,,0,0.0,green,0.0,0.0,green,2022-03-14 13:36:03,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,11.91,Internal Funding,2023-09-26 13:52:42,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,MD3,5ecea8d15ef67a7570a2a002,Mobile Device Refresh FY22,Maintain mobile device at current support levels,6,Future,,False,,,,,,,,,,,,,,183,50.4132,red,-0.125,-33.3333,green,2021-10-28 15:00:01,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,11.91,Internal Funding,2023-09-26 13:52:42,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,E2D,6115e718f5a6964226ae0bbc,Printer Refresh FY22,Refresh Printers at end of life,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-28 15:00:01,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,11.91,Internal Funding,2023-09-26 13:52:42,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,P2,611a93c1f5a6964226ae0dc6,ITS-EPA IV TO1,To support the activities for the infrastructure of the End User Investment,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-28 15:00:04,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,11.91,Internal Funding,2023-09-26 13:52:42,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,E2D,6115de0ef5a6964226ae0ba4,Computer Refresh FY22,Refresh computers to support the ever changing technologies.,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.4605,4.605,green,2021-10-28 15:00:04,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,11.91,Internal Funding,2023-09-26 13:52:42,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,E2E,6115e170f5a6964226ae0baf,Computer Refresh FY23,Refresh computers to support the ever changing technologies.,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-28 15:00:04,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,11.91,Internal Funding,2023-09-26 13:52:42,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,MD5,6115c85bf5a6964226ae0b73,Mobile Device Refresh FY24,Maintain mobile devices at current support levels,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-28 15:00:04,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,11.91,Internal Funding,2023-09-26 13:52:42,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,MD4,6115c621f5a6964226ae0b6d,Mobile Device Refresh FY23,Maintain mobile devices at current support levels,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,-0.05,-6.25,green,2021-10-28 15:00:04,True
6,Department of Commerce,51,006-000805100,USPTO Network (NET),006-51-1006-0,,6,51,,2024,O&M,11.256257,Internal Funding,2023-09-14 12:58:36,6,Department of Commerce,006-000805100,USPTO Network (NET),Standard IT Investments,,240723,611d0418c8d74c429dcb222e,FY23 Infra Hosting Services - Network Maintenance and Enhancements,"Per architectural guidance, over time resources will shift from Data Center, Network, and Compute to Cloud Services that provide the same capabilities of Data Center, Network, Storage, and Compute",4,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-23 12:27:00,True
5,Department of Agriculture,96,005-000002223,NRE-FS-Natural Resource Manager (NRM),005-96-1106,National Forest System,5,96,,2024,DME,11.093,Internal Funding,2023-09-13 21:08:31,5,Department of Agriculture,005-000002223,NRE-FS-Natural Resource Manager (NRM),Major IT Investments,,210775,210775,Project 469-FY2021 FACTS,Business Redesign refresh for USDA-FS Forest Activity Tracking Systems,1,Future,,True,True,Array,Months,FACTS,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-27 16:45:04,True
5,Department of Agriculture,96,005-000002223,NRE-FS-Natural Resource Manager (NRM),005-96-1106,National Forest System,5,96,,2024,DME,11.093,Internal Funding,2023-09-13 21:08:31,5,Department of Agriculture,005-000002223,NRE-FS-Natural Resource Manager (NRM),Major IT Investments,,210776,210776,Project 455 FY21 SUDS,Business Redesign refresh for USDA-FS  Special Uses Data Systems.,1,Future,,True,True,Array,Months,SUDS,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-27 16:45:07,True
5,Department of Agriculture,96,005-000002223,NRE-FS-Natural Resource Manager (NRM),005-96-1106,National Forest System,5,96,,2024,DME,11.093,Internal Funding,2023-09-13 21:08:31,5,Department of Agriculture,005-000002223,NRE-FS-Natural Resource Manager (NRM),Major IT Investments,,210829,210829,Project-NRM Technology Modernizaion Phase III,NRM Technology refresh for some NRM business applications,1,Future,,True,True,Array,Months,TM Phase III,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-27 16:45:07,True
6,Department of Commerce,51,006-000000081,USPTO Application (APP),006-51-1006-0,,6,51,,2024,O&M,10.823852,Internal Funding,2023-09-14 12:58:14,6,Department of Commerce,006-000000081,USPTO Application (APP),Standard IT Investments,,241123,611bea5fc8d74c429dcb1d4c,FY23 Emerging and Innovation Maintenance and Enhancements,Product is the workshop for new services or offerings.  Those services or offerings that are adopted will become components of other Products in the catalog,8,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-23 12:27:02,True
6,Department of Commerce,51,006-000000081,USPTO Application (APP),006-51-1006-0,,6,51,,2024,O&M,10.823852,Internal Funding,2023-09-14 12:58:14,6,Department of Commerce,006-000000081,USPTO Application (APP),Standard IT Investments,,241124,611beb46c8d74c429dcb1d55,FY24 Emerging and Innovation Maintenance and Enhancements,Product is the workshop for new services or offerings.  Those services or offerings that are adopted will become components of other Products in the catalog,8,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-23 12:27:00,True
6,Department of Commerce,51,006-000805200,USPTO End User (EU),006-51-1006-0,,6,51,,2024,DME,10.50672,Internal Funding,2023-09-14 12:58:56,6,Department of Commerce,006-000805200,USPTO End User (EU),Standard IT Investments,,240123,611bebf5c8d74c429dcb1d5f,FY23 End User Services Maintenance and Enhancements,Includes end user computing devices and support for end users,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-23 12:27:00,True
6,Department of Commerce,51,006-000805200,USPTO End User (EU),006-51-1006-0,,6,51,,2024,DME,10.50672,Internal Funding,2023-09-14 12:58:56,6,Department of Commerce,006-000805200,USPTO End User (EU),Standard IT Investments,,240124,611beda3c8d74c429dcb1d72,FY24 End User Services Maintenance and Enhancements,Includes end user computing devices and support for end users,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-23 12:27:00,True
24,Department of Homeland Security,10,024-000005253,DHS - Homeland Advanced Recognition Technology (HART),024-15-0406,"Procurement, Construction, and Improvements",24,15,,2024,DME,10.0,Internal Funding,2022-09-23 22:34:44,24,Department of Homeland Security,024-000005253,DHS - Homeland Advanced Recognition Technology (HART),Major IT Investments,,2,126432,Post Deployment Support,Post Deployment Services post IOC.,1,Future,,False,False,,,project is for support and maintenance.,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-29 18:35:18,True
15,Department of the Treasury,12,015-000200137,Revenue Collections Support Services (RCSS),015-12-1884,Federal Reserve Bank Reimbursement Fund,15,12,,2024,DME,9.494906,Internal Funding,2023-09-18 12:35:57,15,Department of the Treasury,015-000200137,Revenue Collections Support Services (RCSS),Major IT Investments,,202539,015000200137x202539,"TCMM - Additional Security Upgrades, Software Maintenance and Other Prioritized Defect Remediation","Continued maintenance, security upgrades, enhancements and defect remediation.",1,Future,,True,False,,Days,,,,,,,,,,,0,0.0,green,-0.204,6.4353,green,2022-04-11 13:39:46,True
