agencyCode,agencyName,currentUII,investmentName,investmentType,uniqueProjectId,projectId,agencyProjectId,projectName,projectGoal,infrastructureManagementCategory,projectStatus,tmfInitiative,softwareProject,incrementalDevelopment,iterationFrequencyAmount,iterationFrequencyUnits,iterativeDescription,plannedStartDate,projectedStartDate,actualStartDate,plannedEndDate,projectedEndDate,actualEndDate,plannedCost,projectedCost,actualCost,scheduleVariance(days),scheduleVariance(%),scheduleVarianceColor,costVariance($M),costVariance(%),costVarianceColor,updatedTime
006,"Department of Commerce",006-000000081,"USPTO Application (APP)","Standard IT Investments",5ed056af9c62241320d1e4bf,102190,5ed056af9c62241320d1e4bf,"CICM Infrastructure Alignment - Phase 2 ","Introduce automated technology review via Nexus Lifecycle COTS tool. Migrate all nextgen teams to Automated Deployment Pipeline (ADP). Alignment of auto-provisioning of environments to Paas Puppet & integration within CICM through ADP. Setup CICM AWS",08,,,false,,,,,,,,,,,,,,0,0,green,0,0,green,"2021-09-23 08:27:01"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Major IT Investments",61bbc5193e19e8429e16900d,0001P22006,61bbc5193e19e8429e16900d,"Cumulus Integration Platform ","Complete buildout of Cumulus in AWS GovCloud
",01,Complete,,true,true,8,Weeks,"Agile (8 week Program Increments with 4 2-week sprints each)
",,,2022-01-01,,,2022-06-30,,,2.865,0,0,green,0.112797,-3.937,green,"2022-03-03 11:32:38"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",60c28beade61444292b3e808,5520X2105,60c28beade61444292b3e808,"FY21 CUESS Enhancements","Support new functionality requests and additions to the suite of supporting application including improvements and regulatory changes.
",01,Complete,,true,true,4,Weeks,Scrum,,,2020-10-01,,,2021-09-30,,,1.86,0,0,green,-0.1,5.3763,green,"2021-09-29 14:06:18"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",6144c7f7f0fda142a2f0c159,230323,6144c7f7f0fda142a2f0c159,"FY23 FINANCIAL MANAGEMENT MAINTENANCE AND ENHANCEMENTS","Maintain and deliver maintenance and enhancements to core accounting, vendor, and procurement management products",01,"In Progress",N/A,true,true,2,Weeks,"Agile methodology/DevSecOps",2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,4.2229,4.2229,0,0,0,green,0,0,green,"2022-10-04 14:10:00"
006,"Department of Commerce",006-000000081,"USPTO Application (APP)","Standard IT Investments",611bea5fc8d74c429dcb1d4c,241123,611bea5fc8d74c429dcb1d4c,"FY23 Emerging and Innovation Maintenance and Enhancements","Product is the workshop for new services or offerings.  Those services or offerings that are adopted will become components of other Products in the catalog",08,Future,,false,,,,,,,,,,,,,,0,0,green,0,0,green,"2021-09-23 08:27:02"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",6144c965f0fda142a2f0c165,230623,6144c965f0fda142a2f0c165,"FY23 PROPERTY AND FACILITY MANAGEMENT MAINTENANCE AND ENHANCEMENTS","Maintain and deliver enhancements to products and services that support workspace management/use, physical security, enterprise records management, etc.",01,"In Progress",N/A,true,true,2,Weeks,"Agile methodology/DevSecOps",2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,8.625996,8.625996,0,0,0,green,0,0,green,"2022-10-04 14:10:01"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",5f6a5c573e897945a84cf3ed,5520X2021,5f6a5c573e897945a84cf3ed,"FY21 Case Mgt Tool","Develop and Deliver new CMT Functionality",01,Complete,,true,true,4,Weeks,Scrum,,,2020-10-01,,,2021-09-30,,,0.05,0,0,green,-0.017,34,red,"2021-09-29 14:06:18"
006,"Department of Commerce",006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.","Major IT Investments",5f280c2fd4e1d945df9e856f,5252D22111,5f280c2fd4e1d945df9e856f,"FY22 Statistical Production Modernization","Support ongoing modernization of BEA Estimation production components.",01,Completed,N/A,true,true,1,Months,"The iterative development methodology being used is progressive prototyping.",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,6.020303,6.020303,5.714549,0,0,green,0.305754,5.078714,green,"2023-02-21 15:58:48"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",6144c9b8f0fda142a2f0c16a,230723,6144c9b8f0fda142a2f0c16a,"FY23 LEGAL TOOLS MAINTENANCE AND ENHANCEMENTS","Maintain and deliver enhancements to products and services in support of legal discovery, docket management, policy, etc.
",01,"In Progress",N/A,true,true,2,Weeks,"Agile Methodology/DevSecOps",2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,1.26872,1.26872,0,0,0,green,0,0,green,"2022-10-04 14:10:02"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Major IT Investments",5fc7d7c5bde55b428bc9db96,4007P21002,5fc7d7c5bde55b428bc9db96,"Directory Interactive Problem Solving Environment (D-IPSE) Redesign FY21","The overall goal for the DIPSE Redesign FY21 is to complete styling upgrades, complete data capture, search, linkage history and referral display. The project activity ID 244 was changed from 10/6/2020 to end on 10/30/2020 due to the continuation ",01,Complete,,false,false,,,,,,2020-10-01,,,2021-09-30,,,3.663689,0,0,green,-0.325316,8.8795,green,"2021-11-24 08:06:32"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",625de047d4e7ff42e425b119,"5520X2202 ",625de047d4e7ff42e425b119,"FY22-FY23 IMS-R","Migrate to Azure Cloud SAAS environment using PowerApps. Support new functionality requests and additions to the IMS-R application including improvements and regulatory changes. ",01,"In Progress",N/A,true,true,4,Weeks,"Agile scrum",2021-10-01,2021-10-01,2021-10-01,2023-09-30,2023-09-30,,1,1,0,0,0,green,0,0,green,"2022-10-20 11:22:31"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",5f511af8df800345552dcb8c,230821,5f511af8df800345552dcb8c,"FY21 Data and Analytics Maintenance and Enhancements","Deliver enhancements to collection of components and tools sharing analytic and data themes used in the production of business intelligence and advanced analytical solutions as well as consulting services for designing and developing those solutions.",01,Complete,,true,true,2,Weeks,"Agile methodology/DevSecOps",,,2020-10-01,,,2021-09-30,,,17.590552,0,0,green,-2.905425,-33.0339,green,"2021-09-29 14:06:17"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",625e0c0dd4e7ff42e425b156,5520X2105,625e0c0dd4e7ff42e425b156,"FY22-FY23 CUESS Enhancements","Migrate to Azure Cloud SAAS environment using PowerApps. Support new functionality requests and additions to the suite of supporting application including functional improvements and regulatory changes.",01,"In Progress",N/A,true,true,4,Weeks,"Agile scrum",2021-10-01,2021-10-01,2021-10-01,2023-09-30,2023-09-30,,3.02,3.02,0,0,0,green,0,0,green,"2022-10-20 11:22:30"
006,"Department of Commerce",006-000000061,"Census - IT End User","Standard IT Investments",5ed055229c62241320d1e48d,0000D20003,5ed055229c62241320d1e48d,"Microsoft SharePoint/Project Server 2016 Implementation","Microsoft SharePoint/Project Server 2016 implementation Build.",06,"In Progress",,false,false,,,,,,,,,,,,,335,39.3192,red,0,0,green,"2021-09-29 08:42:21"
006,"Department of Commerce",006-000000096,"ITA End User (EU)","Standard IT Investments",60071d642ecce5425313ae00,1,60071d642ecce5425313ae00,"Consolidated IT Procurement","IT Procurement Consolidation
",06,"In Progress",,false,,,,,,,,,,,,,,0,0,green,0,0,green,"2021-09-21 11:00:57"
006,"Department of Commerce",006-000000058,"Census - IT Network","Standard IT Investments",5ed055229c62241320d1e48c,4007D20001,5ed055229c62241320d1e48c,"Data Center Network Hardware Refresh","Data Center Network Hardware Refresh prep, development, migration, and closeout.",04,"In Progress",,false,false,,,,,,,,,,,,,420,65.625,red,0,0,green,"2021-09-29 08:42:19"
006,"Department of Commerce",006-000404100,"Census - 2030 Decennial Census FY 2022 - FY 2024","Major IT Investments",633211f4275c963ad2da87e8,4041D22002,633211f4275c963ad2da87e8,"Census Engineering - FY22","FY22 - Establishes, manages, and reports on the information technology (IT) architecture, engineering, and integration processes and solutions to support 2030 Census business capabilities and functions.",01,Completed,N/A,true,true,1,Months,Iterative,2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,11.41261,11.41261,11.41261,0,0,green,0,0,green,"2023-01-30 16:00:17"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Major IT Investments",5f5a2dd5df800345552dd676,220622,5f5a2dd5df800345552dd676,"FY22 Trademark Data and Analytics Maintenance and Enhancements","Report generation that provides system users with improved workflow lists, generates employee productivity numbers, and provides metrics that enable informed decision-making",01,Completed,N/A,true,true,3,Weeks,"Agile methodology",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,5.925,5.925,0,0,0,green,5.925,0,green,"2023-01-31 10:55:07"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",5f511e19df800345552dcbb3,230722,5f511e19df800345552dcbb3,"FY22 Legal Tools Maintenance and Enhancements","Maintain and deliver enhancements to products and services in support of legal discovery, docket management, policy, etc.
",01,Completed,N/A,true,true,2,Weeks,"Agile methodology/DevSecOps",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,0.94218,0.94218,2.308698,0,0,green,-1.366518,-145.037891,green,"2023-01-30 14:57:10"
006,"Department of Commerce",006-000000068,"NTIA End User (EU)","Standard IT Investments",614ca4defbe01e42bb6851a3,EU-2,614ca4defbe01e42bb6851a3,"IT-Modernization - Endpoint Refresh & VDI Replacement Proof of Concept","Refresh laptops; Analyze, Plan and Demonstrate replacement VDI solution",06,,,false,false,,,,,,,,,,,,,0,0,green,0,0,green,"2021-09-30 08:19:53"
006,"Department of Commerce",006-000000104,"NTIA - FirstNet End User (EU)","Standard IT Investments",5ed04a719c62241320d1e146,4,5ed04a719c62241320d1e146,"FY2019 Q4 End User","Device and Equipment Refresh; and Service Level Agreements.",06,Complete,,false,,,,,,,2019-07-01,,,2019-09-30,,,0.414,0,0,green,0.44868,-108.3768,green,"2022-03-03 14:53:34"
006,"Department of Commerce",006-000000104,"NTIA - FirstNet End User (EU)","Standard IT Investments",5ed04a719c62241320d1e145,3,5ed04a719c62241320d1e145,"FY2019 Q3 End User","Device and Equipment Refresh; and Service Level Agreements.",06,Complete,,false,,,,,,,2019-04-01,,,2019-06-30,,,0.2969,0,0,green,-0.18434,62.0882,red,"2022-03-03 14:53:34"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",5f5119e8df800345552dcb83,230621,5f5119e8df800345552dcb83,"FY21 Property and Facility Management Maintenance and Enhancements","Maintain and deliver enhancements to products and services that support workspace management/use, physical security, enterprise records management, etc.",01,Complete,,true,true,2,Weeks,"Agile methodology/DevSecOps",,,2020-10-01,,,2021-09-30,,,1.174592,0,0,green,-0.293648,-100,green,"2021-09-29 14:06:19"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","Major IT Investments",617c105d0ab54842acf9f723,3083130005,617c105d0ab54842acf9f723,"FY23 - WCCIS Operations and Maintenance","Ongoing operations and maintenance activities that support NCEP's Central Operations mission.",01,"In Progress",N/A,false,true,6,Months,Mixed,2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,16.405,16.405,0,0,0,green,0,0,green,"2022-11-23 08:02:51"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Major IT Investments",5f4d6185ecab984553943ccb,220321,5f4d6185ecab984553943ccb,"FY21 Trademark Exam Maintenance and Enhancements","Trademark Exam Center users can access search and image flipping capability",01,Complete,,true,true,3,Weeks,"Agile methodology and DevSecOps",,,2020-10-01,,,2021-09-30,,,2.29,0,0,green,3.27261,-142.9087,green,"2021-09-29 14:06:21"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",625e1375d4e7ff42e425b166,5520X2207,625e1375d4e7ff42e425b166,"FY22-FY23 Application Support:","Migrate to Azure Cloud SAAS environment using PowerApps. Support requests and reporting against the suite of supporting application including improvements and regulatory changes.",01,"In Progress",N/A,true,true,4,Weeks,"Agile scrum",2021-10-01,2021-10-01,2021-10-01,2023-09-30,2023-09-30,,2.1,2.1,0,0,0,green,0,0,green,"2022-10-20 11:22:31"
006,"Department of Commerce",006-000370500,"NOAA/NOAA/ Enterprise Infrastructure Solution (EIS) (Network Report)","Standard IT Investments",605b503fb0a174427c42c474,NER003,605b503fb0a174427c42c474,"NOAA OAR EIS Transition","OAR transition from GSA Networx contract to the GSA EIS telecommunications contract  For FY22 we are under a continuing resolution OCT 2021 - MAR 2022. There is no FY23 funding for this activity.  In FEB 2022 GSA extended the transition end date.",04,"In Progress",,false,false,,,,,,,,,,,,,0,0,green,0,0,green,"2022-03-03 16:06:23"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","Major IT Investments",5f5a71c1df800345552dd819,3104M20002,5f5a71c1df800345552dd819,"FY21-WCOSS Operations and Maintenance","Continue O&M of existing IBM supercomputer systems , facilities, and support services.  Obtain 2 capacity upgrades (Phase 3 and Phase 4) of the IBM systems.",01,Complete,,false,,,,,,,2020-10-01,,,2021-09-30,,,42.3,0,0,green,-0.944,2.2317,green,"2021-09-29 14:06:20"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Major IT Investments",5f5a2e29df800345552dd679,220722,5f5a2e29df800345552dd679,"FY22 Trademark Content Management Services Maintenance and Enhancements","Provides management, publication, and access to, the classification of goods and services in a language that is pre-approved for use as reference materials, supporting the Trademark application and registration functions.",01,Completed,N/A,true,true,3,Weeks,"Agile methodology and DevSevOps",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,12.56793,12.56793,9.754197,0,0,green,2.813733,22.388198,yellow,"2023-01-31 10:55:06"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Major IT Investments",5f4d5e69ecab984553943cb3,220421,5f4d5e69ecab984553943cb3,"FY21 Trademark International Maintenance and Enhancements","MADRID system that allows for the registration of trademarks in multiple jurisdictions across the world",01,Complete,,true,true,3,Weeks,"Agile methodology",,,2020-10-01,,,2021-09-30,,,1.2,0,0,green,0.417897,-34.8248,green,"2021-11-23 10:31:30"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Major IT Investments",5f5a2d79df800345552dd673,220522,5f5a2d79df800345552dd673,"FY22 Trademark Trial and Appeal Board Maintenance and Enhancements","TTAB employees will experience intuitive User Interface (UI) and Dashboards, Work Flow processes and notifications, integrated Search, and Enterprise Reports",01,Completed,N/A,true,true,3,Weeks,"Agile methodology and DevSecOps",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,4.209999,4.209999,3.066034,0,0,green,1.143965,27.172572,yellow,"2023-01-31 10:55:04"
006,"Department of Commerce",006-000000096,"ITA End User (EU)","Standard IT Investments",60071cb92ecce5425313adfd,2,60071cb92ecce5425313adfd,"Hardware Lifecycle Management","Cost of 2700 system at  cost of $1300.00 spread over 5 years. ",06,"In Progress",,false,,,,,,,,,,,,,,0,0,green,0,0,green,"2021-09-21 11:00:57"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","Major IT Investments",5fa40ff64c8a15426516af36,001D21008,5fa40ff64c8a15426516af36,"DICE Adaptive Design","Develop, implement, and maintain the models and methodology that will be used to achieve benefits such as improved data collection, efficiency, quality, and reduced cost ",01,"In Progress",N/A,true,true,3,Months,Agile,2021-04-14,2021-04-14,2021-04-14,2024-09-30,2024-09-30,,37.12,37.12,0,0,0,green,0,0,green,"2023-05-31 11:10:16"
006,"Department of Commerce",006-000370500,"NOAA/NOAA/ Enterprise Infrastructure Solution (EIS) (Network Report)","Standard IT Investments",605b4d4ab0a174427c42c464,NEO002,605b4d4ab0a174427c42c464,"NOAA OMAO EIS Transition","OMAO transition from GSA Networx contract to the GSA EIS telecommunications contract.  For FY22 we are under a continuing resolution OCT 2021 - MAR 2022. There is no FY23 funding for this activity. In FEB 2022 GSA extended the EIS transition end date",04,"In Progress",,false,false,,,,,,,,,,,,,235,32.2359,red,-0.1,50,red,"2022-03-03 16:06:45"
006,"Department of Commerce",006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).","Major IT Investments",5f7231d7393a1045d8e19e09,"EDDE IT 6 ",5f7231d7393a1045d8e19e09,"CEDSCI EDDE IT Platform Phase 2 YR2","Incrementally add new capabilities to the EDDE platform.",01,Complete,,true,true,40,Days,Agile,,,2020-11-17,,,2021-10-18,,,29.226,0,0,green,-6.102,20.8787,yellow,"2021-09-29 14:06:17"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",625e026ed4e7ff42e425b133,5520X2203,625e026ed4e7ff42e425b133,"FY22-FY23 SNAP-R","Migrate to Azure Cloud SAAS environment using PowerApps. Support new functionality requests and additions to the SNAP-R application including improvements and regulatory changes.  ",01,"In Progress",N/A,true,true,4,Weeks,"Agile scrum",2021-10-01,2021-10-01,2021-10-01,2023-09-30,2023-09-30,,0.4,0.4,0,0,0,green,0,0,green,"2022-10-20 11:22:30"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","Major IT Investments",5fa40e154c8a15426516af32,001D21007,5fa40e154c8a15426516af32,"DICE Paper Data Capture ","Project to develop, implement, and maintain the system to transfer responses from paper questionnaires to digital data for the DICE Program.",01,"In Progress",N/A,true,true,3,Months,Agile,2021-10-01,2021-10-01,2021-10-01,2024-09-30,2024-09-30,,11.738,11.738,0,0,0,green,0,0,green,"2023-05-31 11:10:16"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",5f511ce2df800345552dcba4,230322,5f511ce2df800345552dcba4,"FY22 Financial Management Maintenance and Enhancements","Maintain and deliver enhancements to core accounting, vendor, and procurement management products",01,Completed,N/A,true,true,2,Weeks,"Agile methodology/DevSecOps",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,4.495844,4.495844,2.466789,0,0,green,2.029055,45.131793,red,"2023-01-30 14:57:09"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Major IT Investments",5f4fd2eadf800345552dc789,210422,5f4fd2eadf800345552dc789,"FY22 International Data Exchange Maintenance and Enhancements","Users products and services that allows access to and retrieval of Patent Classifications and related work sharing events.",01,Completed,N/A,true,true,3,Weeks,"Agile methodology/DevSecOps",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,9.768584,9.768584,19.77865,0,0,green,-10.010066,-102.472027,green,"2023-01-30 14:57:09"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","Major IT Investments",617c10b50ab54842acf9f727,3083130006,617c10b50ab54842acf9f727,"FY23 - Water Prediction Operations and Maintenance","Operations and maintenance required to keep the system fully operational. Funding will be used to address issues and system change requests submitted by users and the technical staff.",01,"In Progress",N/A,false,true,6,Months,MIxed,2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,5.19469,5.19469,0,0,0,green,0,0,green,"2022-11-23 08:02:51"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",5f511c79df800345552dcb9c,230122,5f511c79df800345552dcb9c,"FY22 Communication and Customer Experience Maintenance and Enhancements","Maintain and deliver enhancements to external communications and customer experience products and services (e.g. uspto.gov and MyUSPTO)",01,Completed,N/A,true,true,2,Weeks,"Agile methodology/DevSecOps",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,4.095564,4.095564,2.946545,0,0,green,1.149019,28.055208,yellow,"2023-01-30 14:57:11"
006,"Department of Commerce",006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).","Major IT Investments",5f74c8f8393a1045d8e1a331,"EDDE IT 7 ",5f74c8f8393a1045d8e1a331,"CEDSCI EDDE IT Platform Phase 2 YR3","Incrementally add new capabilities to the EDDE platform. ",01,"In Progress",N/A,true,true,40,Days,Agile,2021-10-19,2021-10-19,2021-10-19,2022-11-14,2022-11-14,,28.14,28.14,0,0,0,green,0,0,green,"2022-09-30 09:24:35"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",625e1c79d4e7ff42e425b181,5520X2109,625e1c79d4e7ff42e425b181,"FY22-FY23 OAC","Migrate to Azure Cloud SAAS environment using PowerApps. OAC enhancement requests and data exchanges.",01,"In Progress",N/A,true,true,6,Months,"N/A external agency support",2021-10-01,2021-10-01,2021-10-01,2023-09-30,2023-09-30,,0.278,0.278,0,0,0,green,0,0,green,"2022-10-20 11:22:31"
006,"Department of Commerce",006-000805100,"USPTO Network (NET)","Standard IT Investments",5f4e7a8fecab9845539443f3,240722,5f4e7a8fecab9845539443f3,"FY22 Infra Hosting Services - Network Maintenance and Enhancements","Includes DataCenter, Network, Storage, Compute, and Cloud.Per architectural guidance,over time resources will shift from DataCenter, Network, and Compute to Cloud Services that provide the same capabilities of DataCenter,Network,Storage,and Compute",04,"In Progress",,false,false,,,,,,,,,,,,,0,0,green,-1.13506,9.0176,green,"2021-09-23 08:27:02"
006,"Department of Commerce",006-000370600,"NOAA/NOAA/ N-WAVE (Network Report)","Standard IT Investments",5f031cded4e1d945df9e6e06,7,5f031cded4e1d945df9e6e06,"CARE Act - VPN Capabilities - OCIO - N-WAVE - SDD","Expand NOAA VPN capabilities to facilitate telework.",04,,,false,,,,,,,,,,,,,,0,0,green,0,0,green,"2021-09-29 09:33:30"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Major IT Investments",611bf773c8d74c429dcb1ddf,220523,611bf773c8d74c429dcb1ddf,"FY23 Trademark Trial and Appeal Board (TTAB) Maintenance and Enhancements","TTAB employees will experience intuitive User Interface (UI) and Dashboards, Work Flow processes and notifications, integrated Search, and Enterprise Reports",01,"In Progress",N/A,true,true,3,Weeks,"Agile methodology and DevSecOps",2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,3.180264,3.180264,0,0,0,green,0,0,green,"2022-11-22 09:20:58"
006,"Department of Commerce",006-000000081,"USPTO Application (APP)","Standard IT Investments",5f4e953cecab9845539445c4,241122,5f4e953cecab9845539445c4,"FY22 Emerging and Innovation Maintenance and Enhancements","Product is the workshop for new services or offerings. Those services or offerings that are adopted will become components of other Products in the catalog.",08,"In Progress",,false,,,,,,,,,,,,,,0,0,green,2.0000000000131E-5,-0.0005,green,"2021-09-23 08:27:02"
